stress_level,policy,delivery_rate_mean,delivery_rate_std,packet_loss_mean,packet_loss_std,undelivered_mean,undelivered_std,throughput_mean_bps,throughput_std_bps,recovery_time_mean_s,recovery_time_std_s
S0,Agentic,83.17549939921564,5.6571264256947895,6.657624468653961,4.399748082970446,16.82450060078436,5.657126425694788,1213.3333333333333,529.9492638189265,0.0,0.0
S0,FixedRelay,98.79755965091992,0.7428455137809538,1.842896588947422,1.2559277923764622,1.2024403490800808,0.7428455137809538,8294.222222222223,1401.1319586077886,0.0,0.0
S0,Greedy,99.42498437446056,0.37805550647906844,3.7119681046922324,0.4193452378815697,0.5750156255394395,0.37805550647906616,11676.444444444445,1216.5268514286533,1.6666666666666667,0.4714045207910317
S0,Static,89.49296890473362,3.234323758761611,20.833333333333332,29.46278254943948,10.50703109526639,3.2343237587616134,835.5555555555557,163.05721180305903,0.0,0.0
S1,Agentic,87.01508194933463,5.861333707853072,29.35188656750196,14.444383657065497,12.984918050665376,5.861333707853075,1586.6666666666667,218.1885015811379,0.0,0.0
S1,FixedRelay,98.41894946941242,0.23119828809947984,3.9159148338774687,1.7109541606527396,1.581050530587585,0.23119828809948278,7216.0,550.7080963699436,0.0,0.0
S1,Greedy,99.83325275694312,0.04412285572868272,0.044112065162753004,0.06238388081745102,0.16674724305686497,0.04412285572868105,19843.777777777777,1280.4069183440126,0.3333333333333333,0.4714045207910317
S1,Static,84.23581249668206,2.1834065887799676,43.47826086956522,61.48754619013457,15.764187503317936,2.1834065887799667,845.3333333333334,161.60674720054465,0.0,0.0
S2,Agentic,96.44547866441435,2.910433946213593,65.52843432419571,20.19006749477034,3.5545213355856533,2.9104339462135913,3042.1333333333337,1166.4557828453392,0.0,0.0
S2,FixedRelay,98.60573271679776,0.22400984063289822,35.25441109863026,15.586793925031063,1.39426728320224,0.22400984063289658,6939.066666666666,671.5353022903726,0.6,0.66332495807108
S2,Greedy,99.68850907521139,0.11946388593437311,29.05585339756869,6.112015681855964,0.31149092478860807,0.11946388593437338,16444.4,2516.4693467899287,1.0,1.5491933384829668
S2,Static,78.18878298324263,15.167619149123963,471.0159307359307,536.252832174989,21.81121701675737,15.167619149123965,811.2,355.80379112339114,0.0,0.0
