controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",13.033118483355127,23.598373046020907,3.834318376866144,0.9458333333333333,0.020572916666666666,-12.138270193554602,444100915.3599351,1439.9536820160108
openloop,"[20.0, 40.0)",148.13838961297262,328.381880130798,17.67976774546751,0.11796875,0.0,-165.22831360844012,1115939857.6884463,11257.0376169653
openloop,"[40.0, 60.0)",383.3134145369222,525.2117902571761,38.268770924051665,0.013020833333333334,0.0,-421.51708129430716,1113939125.3606772,9952.848199218752
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",13.166499406058419,21.67278790689231,3.146926238373372,0.9643229166666667,0.0,-11.491811061098456,440652758.67884666,1540.9746252615334
pid,"[20.0, 40.0)",132.42370396907802,305.7917848307383,17.44747256441135,0.07786458333333333,0.0,-149.48185361682272,1014040690.1306804,10568.906914370773
pid,"[40.0, 60.0)",334.94318734519885,408.5340946849184,36.30202317119035,0.0,0.0,-371.2452105163892,1015418198.8434516,9779.851543467683
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",13.33801543892002,24.36465623492391,3.391493940961618,0.93125,0.025,-12.07325937988164,441479949.4682184,1471.0268946437282
agentic,"[20.0, 40.0)",139.60311816599204,319.1716161912754,16.664875738158226,0.07135416666666666,0.0,-155.91122307081696,1010624438.8982606,10893.73822591146
agentic,"[40.0, 60.0)",350.8725582115658,491.2112411955665,32.99714134811685,0.004166666666666667,0.0,-383.8488662263493,1045384737.2390316,9789.737407997676
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
