case_study,method,metric,mean,std,min,max
case_study_1,agentic,mean_tracking_error_m,33.298807235714634,8.361456994889014,17.45712427644393,48.094561478261426
case_study_1,agentic,max_tracking_error_m,106.29486122772187,41.80205623789202,62.23941072909288,189.2154446470581
case_study_1,agentic,rmse_m,36.7737135889663,9.801590226254914,19.313631741112115,55.94754779247109
case_study_1,agentic,formation_error_rel,17.234147235695445,4.960539718252634,9.667836138349054,25.281987504665246
case_study_1,agentic,connectivity_rate,0.42465909090909093,0.10352897476654847,0.215625,0.5749053030303031
case_study_1,agentic,throughput_ratio,0.2342453210211175,0.10735200242841567,0.08505164824092946,0.4445308009900343
case_study_1,agentic,control_overhead,0.21318813131313127,0.07244944928985186,0.11287878787878786,0.3609217171717171
case_study_1,agentic,control_effort,890984735.1209494,16366183.116184242,859889135.1850529,913359418.8629907
case_study_1,agentic,control_smoothness,10854.125431762415,311.8707942873331,10447.010116516485,11498.977715774947
case_study_1,agentic,task_completion_proxy,0.003428030303030303,0.003392331607212438,0.0,0.00946969696969697
case_study_1,agentic,system_utility,-48.40965901686462,11.698693670021878,-64.91932312969928,-24.25043389964147
case_study_1,agentic,alive_ratio,1.0,0.0,1.0,1.0
case_study_1,agentic,steady_state_error_m,51.264236394342404,15.934651204949905,27.274578644955334,86.6356852102056
case_study_1,agentic,error_variance,267.0369348994773,213.90137296081267,68.26518302808533,817.0412602045693
case_study_1,openloop,mean_tracking_error_m,37.17233441835977,15.884963278889499,16.792497275842436,68.98194148670258
case_study_1,openloop,max_tracking_error_m,139.49924765597,104.81881056623178,54.906670998938914,339.24634464029583
case_study_1,openloop,rmse_m,41.780066895556345,18.403785870364803,17.99647438301904,76.21989844786916
case_study_1,openloop,formation_error_rel,20.415938741695655,11.719376689443033,10.105013411230264,45.63906117076861
case_study_1,openloop,connectivity_rate,0.4219791666666667,0.11702316109279846,0.20416666666666666,0.6149621212121212
case_study_1,openloop,throughput_ratio,0.2527989577226134,0.0953635372399966,0.08879511354421205,0.41062498036617345
case_study_1,openloop,control_overhead,0.21320075757575757,0.07785171723831251,0.09747474747474745,0.3509469696969697
case_study_1,openloop,control_effort,1036578550.2389889,60702440.2398136,905375648.1638957,1087935441.3403456
case_study_1,openloop,control_smoothness,10989.616629998167,1253.7077827672758,7914.924809404683,12121.071901840263
case_study_1,openloop,task_completion_proxy,0.003446969696969697,0.0034960158135679932,0.0,0.009280303030303031
case_study_1,openloop,system_utility,-55.47837732672209,26.45427130199374,-112.66030189989544,-23.822700081012094
case_study_1,openloop,alive_ratio,1.0,0.0,1.0,1.0
case_study_1,openloop,steady_state_error_m,60.423261219060294,30.388532242725322,23.43676527062561,112.20198261592888
case_study_1,openloop,error_variance,441.5220920783028,422.5112979253174,41.885125459484904,1197.126286571561
case_study_1,pid,mean_tracking_error_m,29.978470708292566,7.452438338635269,15.372095156172,41.64746369007383
case_study_1,pid,max_tracking_error_m,111.30340393186604,52.05717897636499,51.34622794377364,187.21392326735003
case_study_1,pid,rmse_m,32.986664441374415,9.329605372114415,16.77259442073343,49.1012846272719
case_study_1,pid,formation_error_rel,16.77233779159832,4.5238397371847,9.37893343369078,25.45565949180688
case_study_1,pid,connectivity_rate,0.41444128787878787,0.10832042164011677,0.21259469696969696,0.6125
case_study_1,pid,throughput_ratio,0.22728406889223404,0.08883920241384824,0.11045204688545099,0.3932329882415642
case_study_1,pid,control_overhead,0.20455176767676764,0.06565042389311021,0.10738636363636361,0.3368686868686868
case_study_1,pid,control_effort,874098223.325908,42146537.40322966,759807668.9969953,905307853.3127596
case_study_1,pid,control_smoothness,10555.883843425321,692.2524118503555,9141.973128718993,11452.840472363237
case_study_1,pid,task_completion_proxy,0.0020265151515151516,0.0024382094495480327,0.0,0.007102272727272727
case_study_1,pid,system_utility,-44.67860206049696,11.415770183651857,-62.59801361257079,-21.688528589862777
case_study_1,pid,alive_ratio,1.0,0.0,1.0,1.0
case_study_1,pid,steady_state_error_m,46.63442722564482,16.948070796212964,24.691334156388773,77.76509386066842
case_study_1,pid,error_variance,217.7637542472825,200.10415451626756,36.985453810168565,676.4249202323497
case_study_3,agentic,mean_tracking_error_m,35.954572399132026,13.469023319741622,23.805804518047793,64.97481889003174
case_study_3,agentic,max_tracking_error_m,188.81292690668153,115.44843128374303,59.41366385469993,376.09896666153605
case_study_3,agentic,rmse_m,42.30935622695149,18.394770131683458,25.620672456561987,82.41355862360643
case_study_3,agentic,formation_error_rel,20.750524050214157,9.1615852054981,10.325343214592069,37.42748730882864
case_study_3,agentic,connectivity_rate,0.35889756944444445,0.1217552245631555,0.15234375,0.48975694444444445
case_study_3,agentic,throughput_ratio,0.2053411080341379,0.12238668242528163,0.03712867458793388,0.37777777777777777
case_study_3,agentic,control_overhead,0.18473379629629627,0.07973213495945775,0.06660879629629628,0.3019097222222221
case_study_3,agentic,control_effort,900742608.6526327,18577840.499130275,859636337.82747,927617571.0250119
case_study_3,agentic,control_smoothness,10985.787667989409,393.9482659977862,10075.935500507903,11503.09543193778
case_study_3,agentic,task_completion_proxy,0.008758680555555554,0.005414738856947004,0.0,0.01657986111111111
case_study_3,agentic,system_utility,-54.91060860212396,22.469185828341445,-99.99388605997147,-31.68892008550322
case_study_3,agentic,alive_ratio,1.0,0.0,1.0,1.0
case_study_3,agentic,steady_state_error_m,65.03686523488594,34.94273184450375,27.307654240630583,136.33924240813388
case_study_3,agentic,error_variance,638.6080290434104,773.0349843255591,58.739382669852006,2570.267555214193
case_study_3,agentic,pre_fault_error_m,32.301105336008824,10.020572519150493,14.114653514340159,47.80036629294943
case_study_3,agentic,fault_window_error_m,29.542607701273447,11.694319230340904,17.012726327768426,54.66205995566179
case_study_3,agentic,post_fault_error_m,43.92480800074113,20.278523070979087,25.53932479875027,94.33847454329829
case_study_3,agentic,peak_fault_error_m,62.744916089536765,20.57423315019682,31.46016857765111,90.3668077518935
case_study_3,agentic,connectivity_pre,0.2852083333333334,0.27524137134522497,0.0,0.8291666666666667
case_study_3,agentic,connectivity_fault,0.17010416666666667,0.17764212625188353,0.0,0.4322916666666667
case_study_3,agentic,connectivity_post,0.16197916666666667,0.17001855863886095,0.0,0.4635416666666667
case_study_3,agentic,control_effort_pre,885918859.0730226,43648935.14567624,794828602.9397438,932022833.0949727
case_study_3,agentic,control_effort_fault,860432262.6641201,44445521.33537508,785048381.5711495,918349806.4071343
case_study_3,agentic,control_effort_post,899074282.8762289,10822795.33779312,878573202.1878278,915369728.6183293
case_study_3,agentic,control_smoothness_pre,10622.891203027557,1370.073821626231,8394.045605601606,12399.27819940371
case_study_3,agentic,control_smoothness_fault,10547.429378665714,922.7720283561263,9211.792904511874,11669.509360026244
case_study_3,agentic,control_smoothness_post,10884.43196636491,622.9308655288249,9835.714834148332,11689.526045310498
case_study_3,agentic,post_vs_pre_error_degradation_pct,40.25960185949285,53.87860114767284,-8.048598367754826,161.03815337725845
case_study_3,agentic,connectivity_retention_pct,54.90413869799062,62.49664030846474,0.0,189.23076923076923
case_study_3,openloop,mean_tracking_error_m,47.98710117223696,18.900242166166723,21.537482161871356,81.72057932922765
case_study_3,openloop,max_tracking_error_m,278.01296088894253,200.25080858830646,74.87238199559759,620.3464902499321
case_study_3,openloop,rmse_m,58.22132560842724,26.705431166315794,23.500522728305224,108.45802788845764
case_study_3,openloop,formation_error_rel,29.457263853063967,17.679858015151407,11.96257854082055,63.597605610530465
case_study_3,openloop,connectivity_rate,0.29637152777777775,0.09008829273038543,0.13229166666666667,0.44418402777777777
case_study_3,openloop,throughput_ratio,0.15814075029282576,0.06389359031543694,0.03294975986909389,0.27099223687605356
case_study_3,openloop,control_overhead,0.1436458333333333,0.05204024709602656,0.06018518518518517,0.2440972222222222
case_study_3,openloop,control_effort,1072725094.2076156,18579165.08159689,1041432318.2779012,1096659890.4079812
case_study_3,openloop,control_smoothness,11288.929706332561,391.97831782646483,10746.600578097903,11923.92547262218
case_study_3,openloop,task_completion_proxy,0.0025434027777777777,0.004434934260497345,0.0,0.014496527777777778
case_study_3,openloop,system_utility,-75.96250738641203,35.26474963645596,-144.25004257864697,-31.27914056380302
case_study_3,openloop,alive_ratio,1.0,0.0,1.0,1.0
case_study_3,openloop,steady_state_error_m,94.28174083663126,50.95397426767223,28.42970338504014,187.86217550422876
case_study_3,openloop,error_variance,1407.3256865431767,1560.8662014030153,88.41143063066355,5084.890727548866
case_study_3,openloop,pre_fault_error_m,40.16062942817722,13.264379937078118,20.383801745495646,62.63948727343427
case_study_3,openloop,fault_window_error_m,36.57161830518889,13.013185299320352,17.059791719445954,52.19935110886693
case_study_3,openloop,post_fault_error_m,56.590648409508354,25.508460129496406,26.605903078109943,109.5377682100698
case_study_3,openloop,peak_fault_error_m,68.25951349881562,20.77540992011078,35.141525492017124,91.49595446608846
case_study_3,openloop,connectivity_pre,0.42270833333333335,0.17626704562525802,0.19375,0.8083333333333333
case_study_3,openloop,connectivity_fault,0.1353125,0.1240768865853839,0.0,0.390625
case_study_3,openloop,connectivity_post,0.13125,0.14842927608797396,0.0,0.39375
case_study_3,openloop,control_effort_pre,1076379976.6713102,34654082.15136543,1016247340.112621,1128058737.5506728
case_study_3,openloop,control_effort_fault,1072170629.0122614,55039062.159658894,950733348.0673988,1135193701.7219665
case_study_3,openloop,control_effort_post,1085338297.8645298,28901365.45951998,1030396706.618034,1135071813.4866915
case_study_3,openloop,control_smoothness_pre,11285.981451476297,1067.9860717467025,9329.71970189386,13215.580644010186
case_study_3,openloop,control_smoothness_fault,11418.423164765243,1243.214910093533,8907.327050746602,13213.2216291502
case_study_3,openloop,control_smoothness_post,11088.79443675899,919.859304119694,9818.220729368697,12901.638126474223
case_study_3,openloop,post_vs_pre_error_degradation_pct,43.6941594156077,51.295974021050846,-37.148817909110136,144.74135342865657
case_study_3,openloop,connectivity_retention_pct,43.715806904089945,64.65564844266625,0.0,199.46236559139786
case_study_3,pid,mean_tracking_error_m,42.53427233867956,14.825057455179287,25.035066609161465,66.21049767989247
case_study_3,pid,max_tracking_error_m,176.8892228785047,105.67680524322009,65.5553383139837,381.50677248762145
case_study_3,pid,rmse_m,49.78590426794631,20.321396708133506,28.36205405061335,84.03925956954669
case_study_3,pid,formation_error_rel,20.641875482068613,7.927445716713963,11.434050513155507,32.91098866935225
case_study_3,pid,connectivity_rate,0.34930555555555565,0.08573722415307197,0.26536458333333335,0.5328125
case_study_3,pid,throughput_ratio,0.2020675083057665,0.10557813219473788,0.0585462064665448,0.37296189299059684
case_study_3,pid,control_overhead,0.1639293981481481,0.04390713517052653,0.12285879629629627,0.2674768518518518
case_study_3,pid,control_effort,905846575.5393944,13776847.602318006,892601011.0736728,937282426.4114336
case_study_3,pid,control_smoothness,11092.53877580713,337.80098773960304,10329.692267675968,11567.086071524342
case_study_3,pid,task_completion_proxy,0.002248263888888889,0.003524027595771091,0.0,0.012065972222222223
case_study_3,pid,system_utility,-61.429620042970384,21.688340899177582,-95.77508677979664,-34.7633879556503
case_study_3,pid,alive_ratio,1.0,0.0,1.0,1.0
case_study_3,pid,steady_state_error_m,78.15336938607535,40.128823096226476,35.89623099210875,146.37114950447088
case_study_3,pid,error_variance,843.3310924541296,946.0452337665371,92.14400777573557,2865.777766453283
case_study_3,pid,pre_fault_error_m,37.14551339971338,8.941662453883552,22.511016500210804,54.02219749001106
case_study_3,pid,fault_window_error_m,36.16138291502001,9.158018794003743,17.376568044516617,47.60348881524273
case_study_3,pid,post_fault_error_m,50.081679478416845,15.54537389843964,31.116613228244194,76.81875673369898
case_study_3,pid,peak_fault_error_m,65.70808351672513,16.59535318691367,30.44434842358099,86.71194857768656
case_study_3,pid,connectivity_pre,0.35854166666666665,0.20679396561061197,0.0,0.7104166666666667
case_study_3,pid,connectivity_fault,0.23489583333333336,0.19758820819899686,0.0,0.6854166666666667
case_study_3,pid,connectivity_post,0.17760416666666665,0.08431460744467344,0.057291666666666664,0.31979166666666664
case_study_3,pid,control_effort_pre,898528611.8480551,29067957.302550685,853708317.4891349,945849458.581599
case_study_3,pid,control_effort_fault,824154754.8264612,26253134.370168757,786942344.136966,879057295.9266301
case_study_3,pid,control_effort_post,932155098.2782122,30024090.472872086,892419873.8235573,973942200.4740964
case_study_3,pid,control_smoothness_pre,10938.062793896328,643.182656596811,10063.153042467506,11823.101579112576
case_study_3,pid,control_smoothness_fault,10041.566098697851,1203.7697177913449,8757.288638840875,12837.141108143123
case_study_3,pid,control_smoothness_post,10977.72206930369,428.41631850002847,10403.738560652826,11669.246389965701
case_study_3,pid,post_vs_pre_error_degradation_pct,35.34853330389399,28.73850777466786,1.83513654960703,96.7171704135786
case_study_3,pid,connectivity_retention_pct,62.968177534777396,51.840894138812686,11.87683284457478,189.50617283950615
